N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+157,0.02211441,2,0.02211441,-85.48165665,6.648253e-05,15.5000,13.0630,13.063
2mer-0+163,-0.04226018,2,-0.04226018,-85.52391683,6.630833e-05,16.1420,13.0740,13.074
2mer-0+170,0.03252905,2,0.03252905,-85.49138778,6.505928e-05,16.8430,13.1570,13.157
2mer-0+236,-0.00224107,2,-0.00224107,-85.49362885,6.204517e-05,16.6540,13.3670,13.367
2mer-0+150,0.00788485,2,0.00788485,-85.48574400,5.977358e-05,15.4450,13.5340,13.534
2mer-0+226,-0.06667199,2,-0.06667199,-85.55241599,5.916298e-05,15.8590,13.5810,13.581
2mer-0+195,-0.09793535,2,-0.09793535,-85.65035134,5.818605e-05,16.6540,13.6560,13.656
2mer-0+306,0.23073352,2,0.23073352,-85.41961782,5.766478e-05,16.1190,13.6970,13.697
2mer-0+288,0.21656731,2,0.21656731,-85.20305051,5.766478e-05,16.1190,13.6970,13.697
2mer-0+200,-0.07426516,2,-0.07426516,-85.27731567,5.765201e-05,16.9010,13.6980,13.698
2mer-0+286,0.02838717,2,0.02838717,-85.24892850,5.663738e-05,16.0190,13.7790,13.779
2mer-0+153,-0.01663554,2,-0.01663554,-85.26556404,5.657432e-05,15.7650,13.7850,13.785
2mer-0+179,-0.10035945,2,-0.10035945,-85.36592349,5.623556e-05,14.8020,13.8120,13.812
2mer-0+155,0.01003766,2,0.01003766,-85.35588583,5.621092e-05,15.3110,13.8140,13.814
2mer-0+219,0.05565106,2,0.05565106,-85.30023477,5.457366e-05,17.3070,13.9510,13.951
2mer-0+224,-0.05426528,2,-0.05426528,-85.35450005,5.427336e-05,17.8440,13.9770,13.977
2mer-0+218,0.04680807,2,0.04680807,-85.30769198,5.400175e-05,17.7840,14.0000,14.000
2mer-0+223,0.01082122,2,0.01082122,-85.29687076,5.319951e-05,17.2660,14.0700,14.070
2mer-0+154,0.02574193,2,0.02574193,-85.27112883,5.290778e-05,17.2660,14.0960,14.096
2mer-0+254,-0.08325024,2,-0.08325024,-85.35437907,5.117902e-05,16.3400,14.2530,14.253
2mer-0+233,-0.01680197,2,-0.01680197,-85.37118104,5.075385e-05,16.6540,14.2930,14.293
2mer-0+259,-0.06854227,2,-0.06854227,-85.43972331,5.034269e-05,17.0470,14.3310,14.331
2mer-0+265,-0.02162240,2,-0.02162240,-85.46134571,5.016805e-05,17.6150,14.3480,14.348
2mer-0+285,-0.06683146,2,-0.06683146,-85.52817717,4.981565e-05,17.1320,14.3820,14.382
2mer-0+284,-0.08020500,2,-0.08020500,-85.60838217,4.908731e-05,17.1930,14.4530,14.453
2mer-0+162,-0.08478509,2,-0.08478509,-85.69316726,4.907210e-05,16.6540,14.4540,14.454
2mer-0+205,0.05485021,2,0.05485021,-85.63831705,4.878337e-05,17.8740,14.4830,14.483
2mer-0+206,0.00587477,2,0.00587477,-85.63244228,4.733731e-05,17.4670,14.6290,14.629
2mer-0+199,0.04293795,2,0.04293795,-85.58950433,4.689213e-05,16.3600,14.6750,14.675
2mer-0+215,0.02825087,2,0.02825087,-85.56125346,4.686921e-05,17.3480,14.6770,14.677
2mer-0+290,0.00495680,2,0.00495680,-85.55629666,4.591074e-05,18.0840,14.7780,14.778
2mer-0+267,0.04468928,2,0.04468928,-85.51160738,4.563028e-05,18.2830,14.8090,14.809
2mer-0+228,0.00457795,2,0.00457795,-85.50702943,4.528647e-05,18.3240,14.8460,14.846
2mer-0+339,0.14663359,2,0.14663359,-85.36039584,4.508246e-05,17.1260,14.8680,14.868
2mer-0+320,0.12026043,2,0.12026043,-85.24013541,4.508246e-05,17.1260,14.8680,14.868
2mer-0+208,0.05571108,2,0.05571108,-85.18442433,4.492350e-05,17.9320,14.8860,14.886
2mer-0+253,0.04031564,2,0.04031564,-85.14410869,4.426155e-05,18.7320,14.9600,14.960
2mer-0+260,0.05319208,2,0.05319208,-85.09091661,4.369533e-05,17.7840,15.0240,15.024
2mer-0+300,0.03882782,2,0.03882782,-85.05208879,4.364660e-05,18.5440,15.0300,15.030
2mer-0+204,0.02375738,2,0.02375738,-85.02833141,4.349726e-05,18.1900,15.0470,15.047
2mer-0+282,-0.03646982,2,-0.03646982,-85.06480123,4.346848e-05,18.0840,15.0500,15.050
2mer-0+230,0.00448896,2,0.00448896,-85.06031227,4.282197e-05,18.2190,15.1260,15.126
2mer-0+379,0.06083446,2,0.06083446,-84.99947781,4.267411e-05,16.9810,15.1430,15.143
2mer-0+345,0.04543914,2,0.04543914,-84.95403867,4.257418e-05,17.4280,15.1550,15.155
2mer-0+214,0.01872503,2,0.01872503,-84.93531364,4.239307e-05,18.1900,15.1760,15.176
2mer-0+271,0.05882023,2,0.05882023,-84.87649341,4.234343e-05,16.8430,15.1820,15.182
2mer-0+264,0.03304406,2,0.03304406,-84.84344935,4.225289e-05,19.1430,15.1930,15.193
2mer-0+327,0.02498344,2,0.02498344,-84.81846591,4.131022e-05,17.9390,15.3080,15.308
2mer-0+303,0.04082415,2,0.04082415,-84.77764176,4.115073e-05,19.0450,15.3280,15.328
2mer-0+257,-0.04575605,2,-0.04575605,-84.82339781,4.092313e-05,18.0390,15.3560,15.356
2mer-0+277,0.03198938,2,0.03198938,-84.79140843,4.090509e-05,17.9390,15.3580,15.358
2mer-0+202,0.00920506,2,0.00920506,-84.78220337,4.071606e-05,18.2190,15.3820,15.382
2mer-0+337,-0.03951660,2,-0.03951660,-84.82171997,4.029466e-05,18.0250,15.4350,15.435
2mer-0+313,0.01168691,2,0.01168691,-84.81003306,4.011347e-05,18.1030,15.4590,15.459
2mer-0+326,0.03013080,2,0.03013080,-84.77990226,3.971116e-05,18.9350,15.5110,15.511
2mer-0+296,-0.05000840,2,-0.05000840,-84.82991066,3.961911e-05,17.4030,15.5230,15.523
2mer-0+289,-0.06234370,2,-0.06234370,-84.89225436,3.958425e-05,16.9010,15.5270,15.527
2mer-0+336,-0.06762936,2,-0.06762936,-84.95988372,3.878982e-05,18.1970,15.6330,15.633
2mer-0+273,0.04609094,2,0.04609094,-84.91379278,3.869726e-05,17.3480,15.6450,15.645
2mer-0+250,0.00000983,2,0.00000983,-84.91378295,3.863544e-05,18.5440,15.6530,15.653
2mer-0+334,0.02109730,2,0.02109730,-84.89268565,3.841584e-05,19.0000,15.6830,15.683
2mer-0+231,-0.06591361,2,-0.06591361,-84.95859926,3.832843e-05,18.1030,15.6950,15.695
2mer-0+225,-0.03841685,2,-0.03841685,-84.99701611,3.802030e-05,17.6150,15.7370,15.737
2mer-0+356,0.04269047,2,0.04269047,-84.95432564,3.775031e-05,18.3580,15.7750,15.775
2mer-0+384,0.06619382,2,0.06619382,-84.88813182,3.748416e-05,18.0660,15.8120,15.812
2mer-0+364,0.02137801,2,0.02137801,-84.86675381,3.699220e-05,19.4220,15.8820,15.882
2mer-0+240,0.02007983,2,0.02007983,-84.84667398,3.668642e-05,19.0870,15.9260,15.926
2mer-0+402,0.08372270,2,0.08372270,-84.76295128,3.656769e-05,18.0660,15.9430,15.943
2mer-0+245,0.04605828,2,0.04605828,-84.71689300,3.641513e-05,18.8970,15.9650,15.965
2mer-0+333,-0.04801948,2,-0.04801948,-84.76491248,3.633493e-05,17.8440,15.9770,15.977
2mer-0+232,-0.04780983,2,-0.04780983,-84.81272231,3.626334e-05,18.0840,15.9870,15.987
2mer-0+395,0.03410496,2,0.03410496,-84.77861735,3.611435e-05,18.3580,16.0090,16.009
2mer-0+246,0.02813351,2,0.02813351,-84.75048384,3.540578e-05,17.8970,16.1150,16.115
2mer-0+276,0.00692159,2,0.00692159,-84.74356225,3.540471e-05,18.9350,16.1160,16.116
2mer-0+279,0.03280763,2,0.03280763,-84.71075462,3.476380e-05,18.8040,16.2140,16.214
2mer-0+297,-0.05080103,2,-0.05080103,-84.76155565,3.467072e-05,19.0000,16.2290,16.229
2mer-0+275,-0.00084671,2,-0.00084671,-84.76240236,3.458614e-05,19.0450,16.2420,16.242
2mer-0+255,0.00486178,2,0.00486178,-84.75754058,3.434977e-05,18.2830,16.2790,16.279
2mer-0+409,-0.05477725,2,-0.05477725,-84.81231783,3.412715e-05,18.8620,16.3140,16.314
2mer-0+269,-0.01764846,2,-0.01764846,-84.82996629,3.407760e-05,18.0840,16.3220,16.322
2mer-0+270,0.00875195,2,0.00875195,-84.82121434,3.398047e-05,19.0870,16.3380,16.338
2mer-0+363,-0.03175055,2,-0.03175055,-84.85296489,3.338429e-05,19.4220,16.4340,16.434
