distance,nmer_name,Uind_md,Udf,Unb,Uind_omm,Udf_omm,Unb_omm
1.805,3mer-0+3+441,-2853280018461.222,334814166564.05066,-3188094185061.821,-8.30139697791651,10.593745577320306,-55.51440143585205
1.805,3mer-0+3+48,-3907903170812.1826,294268304.4223047,-3908197439148.6826,-7.752810914532347,9.879845182879762,-49.77814865112305
1.805,3mer-0+3+153,-3760069118294.9062,735979415766.1362,-4496048534097.86,-8.377968237509549,10.691316201577365,-55.95578670501709
1.805,3mer-0+3+514,-6.760134259500747e+16,429700521603068.44,-6.803104311661049e+16,-8.265304792381585,10.548214208625495,-55.34508991241455
1.805,3mer-0+3+350,-740340665798237.9,3757338174153.6216,-744098003972427.6,-8.231898572731097,10.505529615592877,-55.188522815704346
1.805,3mer-0+3+226,-4518189533.660532,138207166.32836834,-4656396736.633038,-8.30251567450182,10.595266174405651,-55.61339259147644
1.805,3mer-0+3+138,-1.0888165772388396e+18,2767430837961696.5,-1.0915840080768003e+18,-8.145047502746138,10.394013328323808,-54.49703073501587
1.805,3mer-0+3+268,-37280257054141.44,33670354073.175426,-37313927408251.266,-8.306275327922776,10.600410501239821,-55.63962173461914
1.805,3mer-0+3+169,-3100538864.5407085,84914767.84680268,-3185453668.6471586,-8.196442096969804,10.46203616307048,-54.98964262008667
1.805,3mer-0+3+279,-791150388843.4116,192883669649.80307,-984034058529.902,-8.282930646917748,10.572134698846412,-55.61553192138672
1.805,3mer-0+3+346,-1991703289058.2422,579058279944.1904,-2570761569038.7124,-8.236472003168956,10.511965639882192,-55.09608578681946
1.805,3mer-0+3+454,-66765037751459.98,1819544329356.2786,-68584582080852.48,-8.223497059210786,10.49545583500003,-55.054057359695435
1.805,3mer-0+3+378,-977213224142696.2,32328363936225.75,-1009541588078958.9,-8.190228127428554,10.452861405423619,-54.92174744606018
1.805,3mer-0+3+224,-5.347558665056861e+18,88997283735995.73,-5.347647662340591e+18,-8.247635837999724,10.526072028668978,-55.19441080093384
1.805,3mer-0+3+545,-2.886720071783242e+16,6014037741867727.0,-3.4881238459700164e+16,-8.20586269344517,10.4719541743832,-54.97395849227905
1.805,3mer-0+3+338,-137356142750.49055,20856686930.176655,-158212829716.82886,-8.18473615338803,10.444797614312165,-54.861966133117676
1.805,3mer-0+3+33,-24450872402444.117,12639368936222.053,-37090241338700.51,-7.981562385858524,10.178551902471554,-52.561452865600586
1.805,3mer-0+3+43,-1.7583203299800138e+18,6.760482079179421e+16,-1.8259251507718054e+18,-7.787887730867624,9.935065111844779,-52.62552547454834
1.805,3mer-0+3+108,-1.3368303810997665e+18,81534485377095.97,-1.3369119155851397e+18,-8.483507211203005,10.828935091500853,-56.743247509002686
1.805,3mer-0+3+64,-58036677374015.37,15153048922234.268,-73189726296287.16,-8.487224854308124,10.83217879406834,-56.82859516143799
1.805,3mer-0+3+83,-128692105352.05347,8608707857.144955,-137300813245.09424,-8.109959015645927,10.350906958780342,-54.42787742614746
1.805,3mer-0+3+341,-15499650759.3685,1122860142.3540325,-16622510938.071009,-8.229139304157115,10.503025078777455,-55.15150165557861
1.805,3mer-0+3+433,-13876917644572.062,350614375014.1398,-14227532019622.418,-8.212384241327982,10.480936033025046,-54.975929260253906
1.805,3mer-0+3+26,-9.395898901200845e+17,5749591239259921.0,-9.453394813593441e+17,-8.251018337146661,10.527103611095527,-55.082855224609375
1.805,3mer-0+3+251,-1396065501.2633991,2109138.4422222325,-1398174676.0691338,-8.210873300947924,10.478378121934156,-55.12385416030884
1.805,3mer-0+3+200,-19443888906.135307,3432107475.974292,-22875996418.69884,-8.299214676975453,10.590746565700329,-55.55060577392578
1.805,3mer-0+3+229,-792326034412895.0,88019434312493.72,-880345468725425.0,-8.24257733526565,10.520403125854955,-55.13809061050415
1.805,3mer-0+3+379,-2.672347264491836e+18,1476566678451637.2,-2.673823831170287e+18,-8.295512953734715,10.587597569489162,-55.62874460220337
1.805,3mer-0+3+240,-1528482991.2951791,2479805.64986198,-1530962833.6567829,-8.368021006829622,10.678598408453581,-55.82987976074219
1.805,3mer-0+3+312,-2893509019851865.0,48297546024628.39,-2941806565876530.0,-8.268551370199248,10.55355022281833,-55.40560722351074
1.805,3mer-0+3+498,-6477701435460.664,746509550111.1313,-7224210985608.408,-8.28440071626028,10.573328480288183,-55.54128694534302
1.805,3mer-0+3+266,-144271381614820.88,30459143643775.93,-174730525258633.06,-8.193565155311262,10.456282829002703,-54.85341453552246
1.805,3mer-0+3+371,-2.1382908225394746e+17,2336762456021992.5,-2.16165844709969e+17,-8.152058238338896,10.403824215579561,-54.52732467651367
1.805,3mer-0+3+95,-3.536212700587472e+17,1.628325351130318e+16,-3.6990452357004934e+17,-8.304082348380689,10.596676394905444,-55.49130630493164
1.805,3mer-0+3+170,-2391871335843.411,116187927775.94435,-2508059263655.2764,-8.186335872081372,10.446386982532886,-54.618398666381836
1.805,3mer-0+3+526,-379006074499.6631,435229200.61654305,-379441303736.6033,-8.222880167030553,10.494448142982264,-55.11198139190674
1.805,3mer-0+3+362,-59029632767.00792,2086609872.8051124,-61116242676.09558,-8.210862552213484,10.47885736317653,-55.04367232322693
1.805,3mer-0+3+168,-202287435197321.3,2574621863223.582,-204862057060580.94,-8.186825271038742,10.447457794757156,-54.807567834854126
1.805,3mer-0+3+292,-614028010189883.6,20058038814669.98,-634086049004589.5,-8.298118237096787,10.590276118677139,-55.5842227935791
1.805,3mer-0+3+317,-71000325334.39891,13479472383.27303,-84479797754.29633,-8.287155918677854,10.575519509712649,-55.55844569206238
1.805,3mer-0+3+304,-100101171135307.64,4819595133214.915,-104920766268559.17,-8.29894898493967,10.59013153950491,-55.50421357154846
1.805,3mer-0+3+354,-2.6130851334746172e+16,373257482244517.1,-2.65041088169907e+16,-8.321245632489536,10.61928848234811,-55.66169214248657
1.805,3mer-0+3+286,-3208463314.5434976,51708989.94252527,-3260172340.699743,-8.226672525334152,10.498587255549637,-55.00986433029175
1.805,3mer-0+3+404,-5995732675.835769,342810538.74902564,-6338543250.745542,-8.191164945174705,10.453950907181252,-54.87694263458252
1.805,3mer-0+3+609,-18159011795.925842,2197158175.25014,-20356170007.661747,-8.282135612005732,10.569033258920172,-55.40839910507202
1.805,3mer-0+3+129,-6370685182843.461,1095206725844.6403,-7465891908724.596,-8.229595811271793,10.50387605915057,-55.2939338684082
1.805,3mer-0+3+12,-4830327010.150851,605680.2461856345,-4830932728.555465,-8.75297370231101,11.180465552449732,-58.16429901123047
1.805,3mer-0+3+281,-4836553061390799.0,367752478178.82806,-4836920813869015.0,-8.250945281189388,10.527525711852604,-55.139883041381836
1.805,3mer-0+3+342,-384314048483734.44,4909612398863.412,-389223660882634.75,-8.331737488815861,10.63295748799078,-55.95034980773926
1.805,3mer-0+3+103,-2.6731165678179425e+18,707263352344887.4,-2.673823831170287e+18,-8.353684174461478,10.664628279762155,-55.51888656616211
1.805,3mer-0+3+474,-392779869665.10944,17170794213.88845,-409950663915.5522,-8.291798104867894,10.580955038442653,-55.499114990234375
1.805,3mer-0+3+66,-524534698637062.56,28614388076273.43,-553149086713373.3,-8.407181641205852,10.738112548247273,-56.846153259277344
1.805,3mer-0+3+227,-165840133569815.47,12913621887186.564,-178753755457038.62,-8.274054035540985,10.558810248974396,-55.50863313674927
1.805,3mer-0+3+215,-299774805725.1356,7478734924.965667,-307253540686.1841,-8.179739353494597,10.438897254629182,-54.77283787727356
1.805,3mer-0+3+105,-1222236758420928.8,121836260016703.16,-1344073018437668.0,-8.325371077001591,10.623460481225948,-55.08760929107666
1.805,3mer-0+3+387,-2.6738156136377047e+18,8217532583019.226,-2.673823831170287e+18,-8.328514905051861,10.629227785988178,-55.862056732177734
1.805,3mer-0+3+193,-25968104949.52981,66562973.745661736,-26034667958.90033,-8.102220053430983,10.337364678624681,-54.13462734222412
1.805,3mer-0+3+126,-18578019920.43045,1049986009.3270239,-19628005966.547604,-8.309960214544162,10.605316312860623,-55.77701187133789
1.805,3mer-0+3+283,-7668049741088489.0,715480698714030.2,-8383530439802549.0,-8.279815125287541,10.567427230059138,-55.46461009979248
1.805,3mer-0+2+3,-7.730896698888097,9.801691322289505,-50.925628592147554,-7.752120204345033,9.831620030029967,-51.03968048095703
