N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+461,-0.03326410,1,-0.01663205,-77.46482226,2.204058e-05,21.0380,18.8740,18.874
2mer-0+642,0.02695239,1,0.01347619,-77.45134607,2.194092e-05,21.4440,18.9020,18.902
2mer-0+426,0.01305227,2,0.01305227,-77.43829380,2.193303e-05,21.9070,18.9050,18.905
2mer-0+381,-0.03589829,2,-0.03589829,-77.47419209,2.188922e-05,22.0030,18.9170,18.917
2mer-0+478,0.05890596,1,0.02945298,-77.44473911,2.188516e-05,23.0930,18.9180,18.918
2mer-0+385,-0.03242607,2,-0.03242607,-77.47716518,2.185397e-05,21.4670,18.9270,18.927
2mer-0+479,-0.00332109,1,-0.00166055,-77.47882572,2.176710e-05,21.1480,18.9530,18.953
2mer-0+497,-0.02893747,2,-0.02893747,-77.50776319,2.171875e-05,21.5390,18.9670,18.967
2mer-0+519,-0.00064353,1,-0.00032177,-77.50808496,2.171481e-05,21.1130,18.9680,18.968
2mer-0+400,0.00576263,1,0.00288132,-77.50520364,2.143365e-05,23.1300,19.0500,19.050
2mer-0+428,-0.01966074,1,-0.00983037,-77.51503401,2.142533e-05,22.2980,19.0530,19.053
2mer-0+407,0.04587351,2,0.04587351,-77.46916050,2.141644e-05,22.2970,19.0550,19.055
2mer-0+473,0.03570517,1,0.01785259,-77.45130792,2.139304e-05,22.6760,19.0620,19.062
2mer-0+585,-0.02033273,1,-0.01016637,-77.46147428,2.131266e-05,21.9660,19.0860,19.086
2mer-0+354,-0.02786194,2,-0.02786194,-77.48933622,2.121392e-05,21.3020,19.1160,19.116
2mer-0+660,0.02334933,1,0.01167467,-77.47766156,2.104908e-05,21.9090,19.1660,19.166
2mer-0+632,-0.04673800,1,-0.02336900,-77.50103056,2.087482e-05,22.1690,19.2190,19.219
2mer-0+559,-0.04832911,1,-0.02416456,-77.52519511,2.084178e-05,21.3200,19.2290,19.229
